method,f,g,rho,sigma
noreg,naive,,,
noreg,oracle,,,
noreg,qm,,,
noreg,lqm,,,
noreg,tr,,,
admm,naive,tv,10,0.1
admm,naive,bm3d,10,0.1
admm,naive,dncnn,10,1.25
admm,gaussian,tv,10,0.9
admm,gaussian,bm3d,10,0.5
admm,gaussian,dncnn,10,0.25
admm,oracle,tv,10,0.9
admm,oracle,bm3d,10,0.5
admm,oracle,dncnn,10,0.25
admm,qm,tv,10,0.5
admm,qm,bm3d,10,0.3
admm,qm,dncnn,10,0.25
admm,lqm,tv,10,0.7
admm,lqm,bm3d,10,0.5
admm,lqm,dncnn,10,0.25
fista,tr,tv,0.01,0.1
fista,tr,bm3d,0.01,0.1
fista,tr,dncnn,0.01,0.75
